Date,Open,High,Low,Close,Adj Close,Volume
2022-05-01,37713.265625,38627.859375,37585.789063,38469.093750,38469.093750,27002760110
2022-05-02,38472.187500,39074.972656,38156.562500,38529.328125,38529.328125,32922642426
2022-05-03,38528.109375,38629.996094,37585.621094,37750.453125,37750.453125,27326943244
2022-05-04,37748.011719,39902.949219,37732.058594,39698.371094,39698.371094,36754404490
2022-05-05,39695.746094,39789.281250,35856.515625,36575.140625,36575.140625,43106256317
2022-05-06,36573.183594,36624.359375,35482.132813,36040.921875,36040.921875,37795577489
2022-05-07,36042.503906,36129.925781,34940.824219,35501.953125,35501.953125,24375896406
2022-05-08,35502.941406,35502.941406,33878.964844,34059.265625,34059.265625,36763041910
2022-05-09,34060.015625,34222.074219,30296.953125,30296.953125,30296.953125,63355494961
2022-05-10,30273.654297,32596.308594,29944.802734,31022.906250,31022.906250,59811038817
2022-05-11,31016.183594,32013.402344,28170.414063,28936.355469,28936.355469,70388855818
2022-05-12,28936.734375,30032.439453,26350.490234,29047.751953,29047.751953,66989173272
2022-05-13,29030.910156,30924.802734,28782.330078,29283.103516,29283.103516,42841124537
2022-05-14,29285.642578,30192.802734,28702.910156,30101.265625,30101.265625,28579868620
2022-05-15,30098.585938,31308.191406,29527.740234,31305.113281,31305.113281,25835372065
2022-05-16,31304.375000,31305.341797,29251.884766,29862.917969,29862.917969,32613897286
2022-05-17,29862.408203,30694.490234,29570.302734,30425.857422,30425.857422,29101473475
2022-05-18,30424.478516,30618.716797,28720.271484,28720.271484,28720.271484,31285268319
2022-05-19,28720.359375,30430.751953,28708.955078,30314.333984,30314.333984,33773447707
2022-05-20,30311.119141,30664.976563,28793.605469,29200.740234,29200.740234,30749382605
2022-05-21,29199.859375,29588.869141,29027.394531,29432.226563,29432.226563,17274840442
2022-05-22,29432.472656,30425.861328,29275.183594,30323.722656,30323.722656,21631532270
2022-05-23,30309.396484,30590.585938,28975.560547,29098.910156,29098.910156,31483454557
2022-05-24,29101.125000,29774.355469,28786.589844,29655.585938,29655.585938,26616506245
2022-05-25,29653.134766,30157.785156,29384.949219,29562.361328,29562.361328,27525063551
2022-05-26,29564.777344,29834.160156,28261.906250,29267.224609,29267.224609,36774325352
2022-05-27,29251.140625,29346.943359,28326.613281,28627.574219,28627.574219,36582005748
2022-05-28,28622.625000,28814.900391,28554.566406,28814.900391,28814.900391,35519577634
2022-05-29,29019.867188,29498.009766,28841.107422,29445.957031,29445.957031,18093886409
2022-05-30,29443.365234,31949.630859,29303.572266,31726.390625,31726.390625,39277993274
2022-05-31,31723.865234,32249.863281,31286.154297,31792.310547,31792.310547,33538210634
2022-06-01,31792.554688,31957.285156,29501.587891,29799.080078,29799.080078,41135817341
2022-06-02,29794.890625,30604.734375,29652.705078,30467.488281,30467.488281,29083562061
2022-06-03,30467.806641,30633.035156,29375.689453,29704.390625,29704.390625,26175547452
2022-06-04,29706.138672,29930.564453,29500.005859,29832.914063,29832.914063,16588370958
2022-06-05,29835.117188,30117.744141,29574.449219,29906.662109,29906.662109,17264085441
2022-06-06,29910.283203,31693.291016,29894.187500,31370.671875,31370.671875,31947336829
2022-06-07,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-08,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-09,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-10,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-11,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-12,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-13,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-14,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-15,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-16,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-17,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-18,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-19,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-20,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-21,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-22,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-23,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-24,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-25,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-26,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-27,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-28,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
2022-06-29,31313.416016,31462.523438,29311.683594,31352.796875,31352.796875,35789680640
